Date,ndvi,savi,ndre,District Name,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2019-03-31,0.4645,0.3126,0.3013,Bhiwani,0.0,28.82,37.19,20.42,118.98
2019-04-07,0.3485,0.22966666666666669,0.20816666666666664,Bhiwani,0.0,31.94,38.86,25.54,106.88
2019-04-14,0.24228571428571427,0.16071428571428573,0.135,Bhiwani,0.0,33.7,40.25,23.62,124.03
2019-04-21,0.20575,0.140125,0.1135,Bhiwani,0.0,31.44,39.1,22.87,130.62
2019-04-28,0.15916666666666668,0.1125,0.08983333333333333,Bhiwani,0.0,35.12,42.74,25.27,139.18
2019-05-05,0.1544,0.11379999999999998,0.0905,Bhiwani,0.0,33.78,41.32,23.04,142.91
2019-05-12,0.13233333333333333,0.09983333333333333,0.0695,Bhiwani,0.0,35.6,40.46,25.97,112.98
2019-05-19,0.14666666666666664,0.10316666666666667,0.07733333333333332,Bhiwani,0.0,32.21,37.75,23.34,139.49
2019-05-26,0.1736,0.1296,0.08819999999999999,Bhiwani,0.0,35.35,40.87,25.06,146.6
2019-06-02,0.171875,0.12712500000000002,0.104375,Bhiwani,0.0,41.59,46.61,31.18,139.21
2019-06-09,0.17733333333333334,0.13011111111111112,0.10366666666666667,Bhiwani,0.0,41.18,46.96,32.7,141.95
2019-06-16,0.16566666666666666,0.12433333333333334,0.09916666666666667,Bhiwani,6.29,36.22,37.02,30.44,100.49
2019-06-23,0.18600000000000003,0.136,0.10433333333333333,Bhiwani,0.0,39.51,42.86,28.4,130.11
2019-06-30,0.16316666666666665,0.123,0.09066666666666667,Bhiwani,0.0,40.91,44.84,32.19,117.12
2019-07-07,0.17166666666666666,0.12533333333333332,0.09333333333333334,Bhiwani,6.7,35.33,37.73,30.41,108.8
2019-07-14,0.111,0.09,0.061,Bhiwani,0.72,37.05,40.64,29.69,111.73
2019-07-21,,,,Bhiwani,6.93,33.65,37.07,27.76,111.06
2019-07-28,0.354,0.268,0.228,Bhiwani,4.82,30.69,34.7,26.31,87.42
2019-08-04,,,,Bhiwani,7.09,31.16,33.85,26.94,97.82
2019-08-11,0.5425,0.38449999999999995,0.358,Bhiwani,0.01,33.28,37.13,26.55,116.77
2019-08-18,0.454,0.324,0.29,Bhiwani,6.28,28.98,33.76,25.21,93.9
2019-08-25,0.5221666666666667,0.37516666666666665,0.3521666666666667,Bhiwani,19.83,29.3,32.73,26.02,69.76
2019-09-01,0.4643333333333333,0.322,0.29516666666666663,Bhiwani,3.97,31.65,35.51,27.12,81.01
2019-09-08,0.4495,0.3185,0.2885,Bhiwani,1.6,30.85,34.07,26.61,106.95
2019-09-15,0.369,0.24433333333333332,0.22866666666666666,Bhiwani,0.47,32.61,37.51,25.3,84.95
2019-09-22,0.42816666666666664,0.28850000000000003,0.25366666666666665,Bhiwani,1.99,30.34,34.35,24.78,88.73
2019-09-29,0.217,0.152,0.12525,Bhiwani,1.84,29.49,33.61,23.49,71.8
2019-10-06,0.317,0.20516666666666664,0.19166666666666665,Bhiwani,0.01,26.94,32.37,21.36,93.94
2019-10-13,0.34714285714285714,0.21957142857142856,0.2104285714285714,Bhiwani,0.0,27.78,34.92,20.43,83.62
2019-10-20,0.311125,0.20024999999999998,0.195125,Bhiwani,0.0,24.9,32.91,17.75,74.72
2019-10-27,0.26966666666666667,0.182,0.16955555555555557,Bhiwani,0.0,23.94,32.48,17.51,68.56
2019-11-03,,,,Bhiwani,0.71,24.08,31.21,18.61,33.99
2019-11-10,0.1985,0.1285,0.1105,Bhiwani,0.0,21.96,29.41,14.51,59.86
2019-11-17,0.1738333333333333,0.11599999999999999,0.09333333333333332,Bhiwani,0.0,21.24,29.23,14.4,72.07
2019-11-24,0.23349999999999999,0.1525,0.14825,Bhiwani,0.0,21.83,27.39,15.21,49.05
2019-12-01,0.275,0.17975000000000002,0.16849999999999998,Bhiwani,0.0,14.88,23.53,9.63,49.35
2019-12-08,0.318,0.204,0.223,Bhiwani,0.0,15.09,24.03,12.03,43.1
2019-12-15,0.3443333333333333,0.231,0.2273333333333333,Bhiwani,0.0,12.05,19.1,6.62,38.84
2019-12-22,,,,Bhiwani,0.0,11.48,20.19,6.15,30.8
2019-12-29,,,,Bhiwani,0.0,6.48,16.6,1.65,21.73
2020-01-05,0.3868,0.26,0.2492,Bhiwani,0.0,12.55,21.89,7.41,46.41
2020-01-12,0.5579999999999999,0.3595,0.3895,Bhiwani,0.0,11.81,22.83,6.37,65.62
2020-01-19,,,,Bhiwani,0.0,10.5,19.02,5.33,39.27
2020-01-26,0.5758,0.3822,0.40499999999999997,Bhiwani,0.0,14.61,24.38,8.69,72.7
2020-02-02,0.5628333333333334,0.37883333333333336,0.4095,Bhiwani,0.0,11.05,20.58,5.29,74.36
2020-02-09,0.5992857142857143,0.4281428571428571,0.43242857142857144,Bhiwani,0.0,12.79,23.41,7.58,74.94
2020-02-16,0.6629999999999999,0.453,0.48133333333333334,Bhiwani,0.0,17.12,29.6,8.58,90.23
2020-02-23,0.514,0.361,0.37875,Bhiwani,0.0,19.08,26.79,10.93,64.43
2020-03-01,0.5246666666666666,0.3861666666666667,0.3825,Bhiwani,0.09,22.04,28.19,14.55,90.46
2020-03-08,0.6506666666666666,0.44366666666666665,0.463,Bhiwani,0.0,17.56,25.73,11.44,105.27
2020-03-15,0.684125,0.482125,0.4845,Bhiwani,1.07,17.69,24.0,9.96,97.13
2020-03-22,0.634,0.4176666666666667,0.44,Bhiwani,0.0,24.3,32.51,15.43,115.7
2020-03-29,0.5475,0.3448333333333333,0.3501666666666667,Bhiwani,0.0,23.0,30.83,14.09,130.23
2020-04-05,0.4164285714285714,0.2657142857142857,0.2472857142857143,Bhiwani,0.0,26.9,35.31,17.15,119.7
2020-04-12,0.22433333333333336,0.15133333333333332,0.13433333333333333,Bhiwani,0.0,30.48,37.83,20.87,131.71
2020-04-19,0.206,0.14233333333333334,0.11733333333333333,Bhiwani,1.03,30.96,36.4,21.26,123.56
2020-04-26,0.1606,0.1162,0.09059999999999999,Bhiwani,3.54,31.81,37.59,24.68,104.92
2020-05-03,0.1415,0.10175,0.074,Bhiwani,20.34,32.1,38.15,25.37,88.69
2020-05-10,0.137375,0.10124999999999999,0.077375,Bhiwani,1.67,33.06,39.89,25.58,73.33
2020-05-17,0.129,0.09349999999999999,0.0605,Bhiwani,0.0,35.29,41.24,26.58,113.25
2020-05-24,0.1396666666666667,0.10433333333333333,0.081,Bhiwani,0.0,39.48,45.47,28.3,141.0
2020-05-31,0.1338,0.1004,0.06899999999999999,Bhiwani,7.84,31.45,33.71,25.11,99.62
2020-06-07,0.1444,0.101,0.0706,Bhiwani,4.96,34.57,37.37,27.46,113.29
2020-06-14,0.14600000000000002,0.10444444444444445,0.07200000000000001,Bhiwani,0.08,40.01,42.8,30.67,116.79
2020-06-21,0.201375,0.125,0.1185,Bhiwani,0.56,39.56,42.02,31.64,133.71
2020-06-28,0.16075,0.123375,0.08912500000000001,Bhiwani,0.0,39.08,42.95,31.69,122.14
2020-07-05,0.19616666666666668,0.14866666666666667,0.11916666666666666,Bhiwani,11.62,33.3,34.8,30.12,108.93
